timestamp,git_sha,server,endpoint,n,c,m,reqs_per_s,p50_us,p99_us,p999_us,bytes_per_req
2026-04-25T15:00:36Z,d6fdbcb,mojo-net,/baseline2?a=1&b=2,100000,50,16,236935.38,2169,4600,6356,22
2026-04-25T15:00:36Z,d6fdbcb,mojo-net,/json/50?m=6,100000,50,16,35901.02,15772,39179,53084,8418
2026-04-25T15:00:36Z,d6fdbcb,mojo-net,/static/footer.html,100000,50,16,213613.14,0,0,0,29
2026-04-25T15:00:36Z,d6fdbcb,hyper,/baseline2?a=1&b=2,100000,50,16,337484.39,985,2230,2976,27
2026-04-25T15:00:36Z,d6fdbcb,hyper,/json/50?m=6,100000,50,16,363344.37,0,0,0,11
2026-04-25T15:00:36Z,d6fdbcb,hyper,/static/footer.html,100000,50,16,29942.59,13160,21057,26568,56376
2026-04-25T16:43:45Z,ac3f1a6,mojo-net,/baseline2?a=1&b=2,100000,50,16,195830.38,2613,6610,8444,22
2026-04-25T16:43:45Z,ac3f1a6,mojo-net,/json/50?m=6,100000,50,16,28779.07,17110,38125,43497,8418
2026-04-25T16:43:45Z,ac3f1a6,mojo-net,/static/footer.html,100000,50,16,139613.52,0,0,0,29
2026-04-25T16:43:45Z,ac3f1a6,hyper,/baseline2?a=1&b=2,100000,50,16,293377.30,1165,2503,3700,27
2026-04-25T16:43:45Z,ac3f1a6,hyper,/json/50?m=6,100000,50,16,322599.38,0,0,0,11
2026-04-25T16:43:45Z,ac3f1a6,hyper,/static/footer.html,100000,50,16,27347.50,14478,23177,27380,56376
2026-04-27T01:55:00Z,3919f7d,mojo-net-baseline,/baseline2?a=1&b=2,5586000,100,10,100006.00,0,0,0,22
2026-04-27T01:55:00Z,3919f7d,mojo-net-baseline,/json/50?m=6,1070746,100,10,17845.77,0,0,0,8418
2026-04-27T01:55:00Z,0d1445d,mojo-net-pathA,/baseline2?a=1&b=2,13225310,100,10,220421.83,0,0,0,22
2026-04-27T01:55:00Z,0d1445d,mojo-net-pathA,/json/50?m=6,1349802,100,10,22496.70,0,0,0,8418
