timestamp,git_sha,server,endpoint,n,c,m,reqs_per_s,p50_us,p99_us,p999_us,bytes_per_req
2026-04-25T15:00:36Z,d6fdbcb,mojo-net,/baseline2?a=1&b=2,100000,50,16,236935.38,2169,4600,6356,22
2026-04-25T15:00:36Z,d6fdbcb,mojo-net,/json/50?m=6,100000,50,16,35901.02,15772,39179,53084,8418
2026-04-25T15:00:36Z,d6fdbcb,mojo-net,/static/footer.html,100000,50,16,213613.14,0,0,0,29
2026-04-25T15:00:36Z,d6fdbcb,hyper,/baseline2?a=1&b=2,100000,50,16,337484.39,985,2230,2976,27
2026-04-25T15:00:36Z,d6fdbcb,hyper,/json/50?m=6,100000,50,16,363344.37,0,0,0,11
2026-04-25T15:00:36Z,d6fdbcb,hyper,/static/footer.html,100000,50,16,29942.59,13160,21057,26568,56376
2026-04-25T16:43:45Z,ac3f1a6,mojo-net,/baseline2?a=1&b=2,100000,50,16,195830.38,2613,6610,8444,22
2026-04-25T16:43:45Z,ac3f1a6,mojo-net,/json/50?m=6,100000,50,16,28779.07,17110,38125,43497,8418
2026-04-25T16:43:45Z,ac3f1a6,mojo-net,/static/footer.html,100000,50,16,139613.52,0,0,0,29
2026-04-25T16:43:45Z,ac3f1a6,hyper,/baseline2?a=1&b=2,100000,50,16,293377.30,1165,2503,3700,27
2026-04-25T16:43:45Z,ac3f1a6,hyper,/json/50?m=6,100000,50,16,322599.38,0,0,0,11
2026-04-25T16:43:45Z,ac3f1a6,hyper,/static/footer.html,100000,50,16,27347.50,14478,23177,27380,56376
2026-04-27T01:55:00Z,3919f7d,mojo-net-baseline,/baseline2?a=1&b=2,5586000,100,10,100006.00,0,0,0,22
2026-04-27T01:55:00Z,3919f7d,mojo-net-baseline,/json/50?m=6,1070746,100,10,17845.77,0,0,0,8418
2026-04-27T01:55:00Z,0d1445d,mojo-net-pathA,/baseline2?a=1&b=2,13225310,100,10,220421.83,0,0,0,22
2026-04-27T01:55:00Z,0d1445d,mojo-net-pathA,/json/50?m=6,1349802,100,10,22496.70,0,0,0,8418
2026-04-27T02:30:00Z,3919f7d,mojo-net-baseline-pin4,/baseline2?a=1&b=2,7311740,100,10,121862.33,0,0,0,22
2026-04-27T02:30:00Z,3919f7d,mojo-net-baseline-pin4,/json/50?m=6,1169095,100,10,19484.92,0,0,0,8418
2026-04-27T02:30:00Z,0d1445d,mojo-net-pathA-pin4,/baseline2?a=1&b=2,10128080,100,10,168801.33,0,0,0,22
2026-04-27T02:30:00Z,0d1445d,mojo-net-pathA-pin4,/json/50?m=6,1220372,100,10,20339.53,0,0,0,8418
2026-04-27T02:35:00Z,3919f7d,mojo-net-baseline-pin8,/baseline2?a=1&b=2,7966620,100,10,132777.00,0,0,0,22
2026-04-27T02:35:00Z,3919f7d,mojo-net-baseline-pin8,/json/50?m=6,1152639,100,10,19210.65,0,0,0,8418
2026-04-27T02:35:00Z,0d1445d,mojo-net-pathA-pin8,/baseline2?a=1&b=2,8414840,100,10,140247.33,0,0,0,22
2026-04-27T02:35:00Z,0d1445d,mojo-net-pathA-pin8,/json/50?m=6,1062798,100,10,17713.30,0,0,0,8418
2026-04-27T03:10:00Z,00143e5,mojo-net-pathA-pool-pin8,/baseline2?a=1&b=2,9386110,100,10,156435.17,0,0,0,22
2026-04-27T03:10:00Z,00143e5,mojo-net-pathA-pool-pin8,/json/50?m=6,1139865,100,10,18997.75,0,0,0,8418
2026-04-27T03:10:00Z,00143e5,mojo-net-pathA-pool-pin4,/baseline2?a=1&b=2,9410350,100,10,156839.17,0,0,0,22
2026-04-27T03:10:00Z,00143e5,mojo-net-pathA-pool-pin4,/json/50?m=6,1199495,100,10,19991.58,0,0,0,8418
2026-04-27T03:10:00Z,00143e5,mojo-net-pathA-pool-unpinned,/baseline2?a=1&b=2,8143320,100,10,135722.00,0,0,0,22
2026-04-27T03:10:00Z,00143e5,mojo-net-pathA-pool-unpinned,/json/50?m=6,1185769,100,10,19762.82,0,0,0,8418
2026-04-28T00:27:35Z,bf394fc,mojo-net,/baseline2?a=1&b=2,200000,50,16,406317.42,911,1829,2643,22
2026-04-28T00:27:35Z,bf394fc,mojo-net,/json/50?m=6,200000,50,16,44201.27,13804,34632,46772,8418
2026-04-28T00:27:35Z,bf394fc,mojo-net,/static/footer.html,200000,50,16,392687.38,0,0,0,29
2026-04-28T00:27:49Z,bf394fc,mojo-net,/baseline2?a=1&b=2,200000,50,16,371375.15,1006,2003,2567,22
2026-04-28T00:27:49Z,bf394fc,mojo-net,/json/50?m=6,200000,50,16,44981.43,13000,30694,36652,8418
2026-04-28T00:27:49Z,bf394fc,mojo-net,/static/footer.html,200000,50,16,388287.69,0,0,0,29
2026-04-28T00:28:03Z,bf394fc,mojo-net,/baseline2?a=1&b=2,200000,50,16,412020.28,901,1818,2692,22
2026-04-28T00:28:03Z,bf394fc,mojo-net,/json/50?m=6,200000,50,16,46876.89,13881,28626,35545,8418
2026-04-28T00:28:03Z,bf394fc,mojo-net,/static/footer.html,200000,50,16,402612.96,0,0,0,29
